Vdiff X,Vdiff Y
0,-0.7510382955011072
1,-0.7451903596898122
2,-0.7393413914380498
3,-0.7334913083925805
4,-0.7276402998625517
5,-0.721788083101633
6,-0.7159348490332913
7,-0.7100805149615586
8,-0.7042256018468624
9,-0.6983691626617694
10,-0.6925117230835018
11,-0.6866531993704783
12,-0.6807937811975648
13,-0.6749331875048812
14,-0.6690716093419142
15,-0.663208965295071
16,-0.6573470538975199
17,-0.6514823751439145
18,-0.64561673513054
19,-0.6397500577765509
20,-0.6338825129680874
21,-0.6280138499871637
22,-0.6221442345456341
23,-0.6162736131621718
24,-0.6104024825826342
25,-0.6045299309862213
26,-0.5986564593121135
27,-0.5927820115238722
28,-0.5869067603482725
29,-0.5810304512677253
30,-0.5751532599717657
31,-0.5692751294652805
32,-0.563403108201219
33,-0.5575231951659556
34,-0.5516424481233921
35,-0.5457608068046134
36,-0.5398784539376023
37,-0.5339951331761543
38,-0.5281110297438829
39,-0.5222260850138403
40,-0.5163408143263539
41,-0.5104543042897696
42,-0.5045670726524396
43,-0.4986790600601676
44,-0.4927904574225923
45,-0.4869010072051145
46,-0.4810109019434412
47,-0.4751200816410941
48,-0.4692303358558294
49,-0.4633382141683264
50,-0.4574455076973443
51,-0.4515521551151336
52,-0.445658351970718
53,-0.439763838403272
54,-0.4338688105329256
55,-0.4279732056245076
56,-0.4220775479455867
57,-0.4161809200885347
58,-0.4102838464977154
59,-0.4043862624675274
60,-0.3984883644613038
61,-0.3925898887231927
62,-0.3866910315200733
63,-0.3807917259919822
64,-0.3749225737828001
65,-0.3690224930211361
66,-0.3631220895892608
67,-0.3572212943762534
68,-0.3513203874947597
69,-0.3454188455808784
70,-0.3395172323412299
71,-0.3336150493943406
72,-0.327713173254536
73,-0.3218105261124349
74,-0.3159077638770043
75,-0.3100045103588409
76,-0.3041013070323886
77,-0.2981976102482915
78,-0.2922938687030256
79,-0.2863897042324675
80,-0.2804871108306877
81,-0.2745826552710966
82,-0.2686780813425855
83,-0.2627731436718528
84,-0.2568682789193739
85,-0.2509630226101154
86,-0.2450577429711027
87,-0.2391521508155912
88,-0.2332469411355145
89,-0.2273411069058942
90,-0.2214352306742333
91,-0.2155290862601003
92,-0.2096230314396357
93,-0.2037166603248257
94,-0.1978102816930847
95,-0.1919036734148389
96,-0.1860040337625433
97,-0.180097190498983
98,-0.174190391049357
99,-0.1682833956408687
100,-0.1623765015414127
101,-0.1564693491796585
102,-0.1505622005196989
103,-0.1446548855178906
104,-0.1387479905096827
105,-0.1328405611688528
106,-0.12693312633104
107,-0.1210255514585672
108,-0.1151180859675658
109,-0.1092104096976065
110,-0.1033027449817803
111,-0.09739499309192245
112,-0.09148886814457136
113,-0.0855810538032058
114,-0.07967318656969935
115,-0.07376526738775202
116,-0.06785742474154333
117,-0.06194944695026661
118,-0.05604145607634936
119,-0.05013341674054694
120,-0.04422578776286579
121,-0.03831772432815606
122,-0.03240965293949749
123,-0.02650153730613769
124,-0.02059353299970845
125,-0.01468540239395355
126,-0.008777291249139951
127,-0.002869142021504345
128,0.002869146889814767
129,0.008777297829308139
130,0.01468540813113162
131,0.0205935465701419
132,0.02650155031559054
133,0.03240965917929395
134,0.03831772873165362
135,0.04422581319909047
136,0.05013344746956894
137,0.05604146180468517
138,0.06194945019050069
139,0.06785743722649795
140,0.07376527929267418
141,0.07967319165594167
142,0.08558105603345245
143,0.09148890063069315
144,0.09739506975504408
145,0.1033027493131846
146,0.1092104434703167
147,0.1151180979971342
148,0.121025551454262
149,0.1269331298162426
150,0.1328405611640315
151,0.1387480161889738
152,0.1446548855120182
153,0.1505622030889153
154,0.1564693491720162
155,0.1623765143848728
156,0.1682833956315739
157,0.1741903926616062
158,0.1800971904876203
159,0.1860040025090119
160,0.191903673404608
161,0.1978102823181127
162,0.2037166603086062
163,0.2096230470812743
164,0.2155290862410837
165,0.2214352303237797
166,0.2273411068835403
167,0.2332469862260556
168,0.2391521507898584
169,0.2450577416939377
170,0.2509630225801263
171,0.2568682995464879
172,0.2627731436373006
173,0.2686780792038646
174,0.2745826552315938
175,0.2804872198026718
176,0.2863897041873007
177,0.292293865839512
178,0.2981976101971957
179,0.3041013345862589
180,0.3100045103005999
181,0.3159077604170013
182,0.3218105260471029
183,0.3277132620737655
184,0.3336150493195087
185,0.3395172284973897
186,0.3454188454984948
187,0.3513204219966461
188,0.3572212942836921
189,0.3631222191244863
190,0.3690224929182717
191,0.374922713920788
192,0.3807917259234661
193,0.3866911829720563
194,0.392589888596377
195,0.3984885276780443
196,0.4043862623305245
197,0.4102840219836923
198,0.4161809199342563
199,0.4220777360709598
200,0.4279732054788037
201,0.4338690116596879
202,0.4397638382182163
203,0.4456585662181982
204,0.4515521549304808
205,0.4574457351241408
206,0.4633382139497757
207,0.4692305760946793
208,0.4751200816279082
209,0.4810111551015983
210,0.4869010069512953
211,0.4927907227626125
212,0.4986790598415909
213,0.504567349625479
214,0.5104543040004859
215,0.5163411018980595
216,0.5222260849667004
217,0.528111327424873
218,0.5339951328534644
219,0.5398787604379207
220,0.5457608065952095
221,0.5516427625909193
222,0.5575231948152664
223,0.5634034270467669
224,0.5692751322763194
225,0.5751535870496391
226,0.5810304508985529
227,0.5869070919841366
228,0.5927820114164934
229,0.5986567949095991
230,0.604529930613348
231,0.6104028203207934
232,0.6162736139367015
233,0.6221445751391779
234,0.6280138496302787
235,0.6338828546276358
236,0.6397500579114921
237,0.6456170778836414
238,0.6514823822791558
239,0.6573473936116356
240,0.6632089652911131
241,0.6690719521521646
242,0.6749331874931543
243,0.6807941229026202
244,0.6866531993461473
245,0.6925120644747229
246,0.6983691626178641
247,0.704225940033637
248,0.7100805148946814
249,0.7159351881004419
250,0.721788082998829
251,0.7276406367203947
252,0.7334913082519521
253,0.7393417277199004
254,0.7451903600691665
255,0.7510386310884689
